"","Code","Reference","Country","Site","Latitude","Longitude","MAT..�.C...Origin.data.","MAP..mm...Origin.data.","Elevation..m.a.s.l..","Slope..Origin.data.","Vegetation.type..Origin.data.","Stand.age","Parent.material..origin.data.","Soil.type..Origin.data.","Soil.class","Soil.age..a.","Comment..Site.note.","Soil.hori","X.","P.inorg..mg.kg...Resin..origin.data.","P.inorg..mg.kg...Bicarbonate..origin.data.","P.inorg..mg.kg...First.two..BicPi.W.R.Pi...ori....","P.org..mg.kg...Bicarbonate..origin.data.","P.inorg..mg.kg...Hydroxide..origin.data.","P.org..mg.kg...Hydroxide..origin.data.","P..mg.kg...Apatite..origin.data.","P.inorg..mg.kg...Sonic..origin.data.","P.org..mg.kg...Sonic..origin.data.","P.inorg..mg.kg...Conc...HCl..origin.data.","P.org..mg.kg...Conc...HCl..origin.data.","P..mg.kg...Residue..origin.data.","P.org..mg.kg...Total..origin.data.","P..mg.kg...Sum.of.P.fraction..origin.data.","P..mg.kg...Total.P.measured.separat..ori....","Comment..Notes.about.P.fractions..orig....","pH","TOC....","TN....","Al..mg.kg...DCB.Al..origin.data.","Fe..mg.kg...DCB.Al..origin.data.","Al..mg.kg...Oxalate..origin.data.","Fe..mg.kg...Oxalate..origin.data.","DBD..g.cm..3.","Texture","Sand....","Silt....","X.2.µm...9.phi....","Method.comm","P..mg.kg...Microbial.biomass..origin.data.","Lat.2","Long.2","MAT..�.C...MAT2..site.mean.annual.tempat....","MAP..mm...MAP2..site.mean.annual.precip....","Aridity.index","Elev2..m.a.s.l..","Soil.type..Soil.type2..according.to.USDA....","Parent.material..Parent.material2.","Vegetation.type..Vegetation.type2..grouped.int....","Slope..Slope2..slope.expressed.in.pe....","Depth.soil..m.","Comment","Code..Soil.depth.code..0..organic.l....","P..mg.kg...Total.P2..total..sum.of.P.fra....","P.inorg..mg.kg...Available..sum.of.HCO3Pi.and.....","P.org..mg.kg...Sum.of.HCO3.Po.and.OH.Po.","P.inorg..mg.kg...Primary.P..HCI.Pi.","P.inorg..mg.kg...Secondary.P..OH.Pi.","P..mg.kg...Occluded.P..TP.sum.resin.P..b...."
"127",127,"Quesada et al., 2010","Bolivia","LSL-02",-14.408,-61.138,26.12,1400,182,0,"Forest","Primary","Unclear","Umbrisol","WRB system",NA,"LSL-02","0-30 cm","",11,7.8,NA,34,81.5,186.3,0.7,NA,NA,NA,NA,90.3,220.3,433.1,NA,"",4.74,6.05,0.53,NA,NA,NA,NA,NA,"",29.05,35.15,35.8,"Hydrometer method and pipette method",NA,-14.408,-61.138,26.12,1400,0.79,182,"Inceptisols","","Forest",0,15,"",2,433.1,18.81,220.34,0.69,81.49,111.8
"128",128,"Quesada et al., 2010","Brazil","MAN-03",-2.609,-60.214,27,2250,92,7.9,"Forest","Primary","Unclear","Podzol","WRB system",NA,"MAN-03","0-30 cm","",5.2,1.8,NA,6,11.2,7.9,1.3,NA,NA,NA,NA,7,13.9,36.5,NA,"",4.1,0.79,0.05,NA,NA,NA,NA,NA,"",20.97,12.81,66.21,"Hydrometer method and pipette method",NA,-2.609,-60.214,27,2250,1.42,92,"Spodosols","","Forest",4.52,15,"",2,36.5,6.96,13.89,1.26,11.17,3.3
"129",129,"Quesada et al., 2010","Brazil","MAN-04",-2.609,-60.216,26.96,2250,100,0,"Forest","Primary","Unclear","Podzol","WRB system",NA,"MAN-04","0-30 cm","",6,0.6,NA,2.6,2.5,3.7,1.5,NA,NA,NA,NA,8.2,6.3,25,NA,"",4.73,1.34,0.08,NA,NA,NA,NA,NA,"",71.82,1.8,1.38,"Hydrometer method and pipette method",NA,-2.609,-60.216,26.96,2250,1.43,100,"Spodosols","","Forest",0,15,"",2,25,6.62,6.29,1.45,2.52,8.1
"130",130,"Quesada et al., 2010","Brazil","MAN-12",-2.607,-60.209,26.93,2250,106,0,"Forest","Primary","Unclear","Ferralsols","WRB system",NA,"MAN-12","0-30 cm","",5.2,1.8,NA,6,11.2,7.9,1.3,NA,NA,NA,NA,68.5,13.9,101.8,NA,"",3.94,2.59,0.15,NA,NA,NA,NA,NA,"",19.9,12.39,67.71,"Hydrometer method and pipette method",NA,-2.607,-60.209,26.93,2250,1.42,106,"Oxisols","","Forest",0,15,"",2,101.8,6.96,13.89,1.26,11.17,68.5
"131",131,"Quesada et al., 2010","Brazil","MBO-01",-1.45,-48.45,26.63,2924,24,0,"Forest","Primary","Unclear","Ferralsols","WRB system",NA,"MBO-01","0-30 cm","",3.1,4.1,NA,6,11.9,16.3,1.3,NA,NA,NA,NA,58.7,22.3,101.4,NA,"",3.98,3.62,0.25,NA,NA,NA,NA,NA,"",79.35,9.17,11.49,"Hydrometer method and pipette method",NA,-1.45,-48.45,26.63,2924,1.5,24,"Oxisols","","Forest",0,15,"",2,101.4,7.27,22.29,1.28,11.87,58.7
"132",132,"Quesada et al., 2010","Brazil","POR-01",-10.818,-68.776,25.45,1905,275,24,"Forest","Primary","Unclear","Plinthosol","WRB system",NA,"POR-01","0-30 cm","",9.4,3.8,NA,11.9,23.9,35.9,15.2,NA,NA,NA,NA,55.9,47.8,155.8,NA,"",4.45,0.75,0.07,NA,NA,NA,NA,NA,"",61.68,21.6,16.73,"Hydrometer method and pipette method",NA,-10.818,-68.776,25.45,1905,1,275,"Oxisols","","Forest",13.5,15,"",2,155.8,13.1,47.81,15.23,23.85,55.9
"133",133,"Quesada et al., 2010","Brazil","POR-02",-10.8,-68.773,25.48,1905,269,24,"Forest","Primary","Unclear","Plinthosol","WRB system",NA,"POR-02","0-30 cm","",6.8,2.7,NA,10.8,17.1,25.9,9.5,NA,NA,NA,NA,63.6,36.8,136.4,NA,"",4.57,0.5,0.06,NA,NA,NA,NA,NA,"",61.31,22.44,16.25,"Hydrometer method and pipette method",NA,-10.8,-68.773,25.48,1905,1.01,269,"Oxisols","","Forest",13.5,15,"",2,136.4,9.52,36.74,9.46,17.11,63.6
"134",134,"Quesada et al., 2010","Venezuela","RIO-12",8.114,-61.692,24.76,1225,270,0,"Forest","Primary","Unclear","Lixisol","WRB system",NA,"RIO-12","0-30 cm","",3.4,2.8,NA,5.1,12.5,17.9,0.6,NA,NA,NA,NA,137.2,23,179,NA,"",5.43,1.29,0.11,NA,NA,NA,NA,NA,"",71.33,19.18,9.5,"Hydrometer method and pipette method",NA,8.114,-61.692,24.76,1225,0.84,270,"Alfisols","","Forest",0,15,"",2,179,6.26,23.02,0.57,12.49,136.6
"135",135,"Quesada et al., 2010","Brazil","RST-01",-9.044,-72.267,25.91,2259,274,62.5,"Forest","Primary","Unclear","Cambisol","WRB system",NA,"RST-01","0-30 cm","",8.3,4.9,NA,11.5,15.7,27.1,9.5,NA,NA,NA,NA,163.2,38.6,240.2,NA,"",5.56,1.35,0.14,NA,NA,NA,NA,NA,"",39.42,35.18,25.4,"Hydrometer method and pipette method",NA,-9.044,-72.267,25.91,2259,1.04,274,"Inceptisols","","Forest",32.01,15,"",2,240.2,13.16,38.58,9.51,15.74,163.2
"136",136,"Quesada et al., 2010","Brazil","SCR-01",-11.411,-55.325,25.84,2180,326,24,"Forest","Primary","Unclear","Acrisol","WRB system",NA,"SCR-01","0-30 cm","",2.5,3.4,NA,2.1,7.5,17.5,0.5,NA,NA,NA,NA,67.9,19.6,102.6,NA,"",4.79,1.84,0.11,NA,NA,NA,NA,NA,"",88.37,3.26,8.38,"Hydrometer method and pipette method",NA,-11.411,-55.325,25.84,2180,0.95,326,"Ultisols","","Forest",13.5,15,"",2,102.6,5.95,19.57,0.48,7.5,69.1
"137",137,"Quesada et al., 2010","Venezuela","SCR-05",1.93,-67.038,26.05,3177,111,0,"Forest","Primary","Unclear","Acrisol","WRB system",NA,"SCR-05","0-30 cm","",2.2,1.7,NA,0.8,3,5.9,0.3,NA,NA,NA,NA,10.7,6.7,29.1,NA,"",5.03,2.05,0.11,NA,NA,NA,NA,NA,"",88.73,5.9,5.38,"Hydrometer method and pipette method",NA,1.93,-67.038,26.05,3177,1.72,111,"Ultisols","","Forest",0,15,"",2,29.1,3.88,6.68,0.28,3.04,15.2
"138",138,"Quesada et al., 2010","Brazil","SIN-01",-11.411,-55.325,25.84,2180,326,0,"Forest","Primary","Unclear","Ferralsols","WRB system",NA,"SIN-01","0-30 cm","",2.6,5.8,NA,3.6,7.4,10.9,1.2,NA,NA,NA,NA,29.9,14.5,61.3,NA,"",4.19,1.07,0.08,NA,NA,NA,NA,NA,"",85.75,4.45,9.8,"Hydrometer method and pipette method",NA,-11.411,-55.325,25.84,2180,0.95,326,"Oxisols","","Forest",0,15,"",2,61.3,8.34,14.5,1.2,7.36,29.9
"139",139,"Quesada et al., 2010","Peru","SUC-01",-3.252,-72.907,26.21,2754,123,62.5,"Forest","Primary","Unclear","Plinthosol","WRB system",NA,"SUC-01","0-30 cm","",4.3,5.1,NA,14,32,44.5,1,NA,NA,NA,NA,196.1,58.5,305.3,NA,"",4.55,1.59,0.17,NA,NA,NA,NA,NA,"",38.38,14.36,47.26,"Hydrometer method and pipette method",NA,-3.252,-72.907,26.21,2754,1.66,123,"Oxisols","","Forest",32.01,15,"",2,305.3,9.4,58.48,0.99,32.02,204.4
"140",140,"Quesada et al., 2010","Peru","SUC-02",-3.251,-72.904,26.22,2754,122,100,"Forest","Primary","Unclear","Acrisol","WRB system",NA,"SUC-02","0-30 cm","",4.3,5.2,NA,12.2,29.7,34.6,1.3,NA,NA,NA,NA,172.7,46.8,263.9,NA,"",4.42,1.78,0.17,NA,NA,NA,NA,NA,"",32.36,21.92,45.72,"Hydrometer method and pipette method",NA,-3.251,-72.904,26.22,2754,1.66,122,"Ultisols","","Forest",45,15,"",2,263.9,9.45,46.8,1.28,29.65,176.7
"141",141,"Quesada et al., 2010","Ecuador","SUM-06",-1.75,-77.63,NA,NA,1200,24,"Forest","Primary","Unclear","Andosol","WRB system",NA,"SUM-06","0-30 cm","",15.5,17.8,NA,86,148.6,470.2,14,NA,NA,NA,NA,216.1,556.2,968.2,NA,"",4.71,11.99,0.9,NA,NA,NA,NA,NA,"",30.27,47.92,21.81,"Hydrometer method and pipette method",NA,-1.75,-77.63,23.79,3678,2.27,1200,"Andisols","","Forest",13.5,15,"",2,968.2,33.28,556.22,14,148.59,216.1
"142",142,"Quesada et al., 2010","Peru","TAM-01",-12.844,-69.288,25.61,2463,205,7.9,"Forest","Primary","Unclear","Alisols","WRB system",NA,"TAM-01","0-30 cm","",4.4,7.5,NA,21.6,48.9,84.5,9.9,NA,NA,NA,NA,163,106.1,337.1,NA,"",4.41,0.82,0.11,NA,NA,NA,NA,NA,"",17.93,52.88,29.19,"Hydrometer method and pipette method",NA,-12.844,-69.288,25.61,2463,1.45,205,"Ultisols","","Forest",4.52,15,"",2,337.1,11.98,106.05,9.9,48.88,160.3
"143",143,"Quesada et al., 2010","Peru","TAM-02",-12.835,-69.286,25.58,2463,210,0,"Forest","Primary","Unclear","Alisols","WRB system",NA,"TAM-02","0-30 cm","",5.6,7.9,NA,25.8,50.2,85.2,5.8,NA,NA,NA,NA,234,111,418.5,NA,"",4.32,0.98,0.15,NA,NA,NA,NA,NA,"",20.12,39.78,40.09,"Hydrometer method and pipette method",NA,-12.835,-69.286,25.58,2463,1.45,210,"Ultisols","","Forest",0,15,"",2,418.5,13.47,110.97,5.76,50.2,238.1
"144",144,"Quesada et al., 2010","Peru","TAM-04",-12.836,-69.278,25.61,2463,205,0,"Forest","Primary","Unclear","Gleysol","WRB system",NA,"TAM-04","0-30 cm","",10,10.9,NA,27.9,46.2,76.7,3.5,NA,NA,NA,NA,175.1,104.6,342.2,NA,"",4.05,1.01,0.14,NA,NA,NA,NA,NA,"",17.03,43.73,39.24,"Hydrometer method and pipette method",NA,-12.836,-69.278,25.61,2463,1.44,205,"Entisols","","Forest",0,15,"",2,342.2,20.91,104.56,3.53,46.17,167
"145",145,"Quesada et al., 2010","Peru","TAM-05",-12.83,-69.271,25.53,2463,220,0,"Forest","Primary","Unclear","Cambisol","WRB system",NA,"TAM-05","0-30 cm","",6.1,5.7,NA,20.6,22.1,21.4,1.5,NA,NA,NA,NA,149.3,42,256.3,NA,"",3.91,1.51,0.16,NA,NA,NA,NA,NA,"",39.76,16.71,43.53,"Hydrometer method and pipette method",NA,-12.83,-69.271,25.53,2463,1.43,220,"Inceptisols","","Forest",0,15,"",2,256.3,11.75,41.97,1.46,22.14,179
"146",146,"Quesada et al., 2010","Peru","TAM-06",-12.839,-69.296,25.63,2463,200,62.5,"Forest","Primary","Unclear","Alisols","WRB system",NA,"TAM-06","0-30 cm","",4.7,7,NA,21.4,57.7,100.9,23,NA,NA,NA,NA,309.8,122.2,528.8,NA,"",5.06,1.2,0.17,NA,NA,NA,NA,NA,"",2.43,51.91,45.66,"Hydrometer method and pipette method",NA,-12.839,-69.296,25.63,2463,1.45,200,"Ultisols","","Forest",32.01,15,"",2,528.8,11.7,122.22,22.97,57.68,314.2
"147",147,"Quesada et al., 2010","Peru","TAM-07",-12.826,-69.261,25.51,2463,225,7.9,"Forest","Primary","Unclear","Cambisol","WRB system",NA,"TAM-07","0-30 cm","",4.4,3.5,NA,13.8,21.2,48.3,0.8,NA,NA,NA,NA,88.6,62.1,178.2,NA,"",4.22,1.42,0.14,NA,NA,NA,NA,NA,"",47.01,24.2,28.79,"Hydrometer method and pipette method",NA,-12.826,-69.261,25.51,2463,1.43,225,"Inceptisols","","Forest",4.52,15,"",2,178.2,7.84,62.1,0.8,21.24,86.2
"148",148,"Quesada et al., 2010","Brazil","TAP-04",-2.851,-54.955,25.87,2009,197,0,"Forest","Primary","Unclear","Ferralsols","WRB system",NA,"TAP-04","0-30 cm","",4.5,5.1,NA,10.5,25.3,21.8,0.6,NA,NA,NA,NA,124.6,32.2,192.3,NA,"",3.84,2.54,0.17,NA,NA,NA,NA,NA,"",2.86,7.89,89.25,"Hydrometer method and pipette method",NA,-2.851,-54.955,25.87,2009,1.22,197,"Oxisols","","Forest",0,15,"",2,192.3,9.63,32.2,0.64,25.26,124.6
"149",149,"Quesada et al., 2010","Brazil","TAP-123",-3.31,-54.942,25.87,2009,187,0,"Forest","Primary","Unclear","Ferralsols","WRB system",NA,"TAP-123","0-30 cm","",1.7,3.7,NA,5.4,16.8,6.7,1.3,NA,NA,NA,NA,43.3,12.2,78.9,NA,"",3.78,1.64,0.12,NA,NA,NA,NA,NA,"",23.48,10.42,66.1,"Hydrometer method and pipette method",NA,-3.31,-54.942,25.87,2009,1.13,187,"Oxisols","","Forest",0,15,"",2,78.9,5.37,12.15,1.33,16.77,43.3
"150",150,"Quesada et al., 2010","Ecuador","TIP-03",-0.639,-76.155,25.79,3328,248,0,"Forest","Primary","Unclear","Gleysol","WRB system",NA,"TIP-03","0-30 cm","",13.3,13.1,NA,50.3,100.1,100.5,38.7,NA,NA,NA,NA,257.5,150.7,336,NA,"",4.39,1.82,0.24,NA,NA,NA,NA,NA,"",3.1,40.3,56.6,"Hydrometer method and pipette method",NA,-0.639,-76.155,25.79,3328,1.82,248,"Entisols","","Forest",0,15,"",2,336,26.37,150.74,38.72,100.14,20
"151",151,"Quesada et al., 2010","Ecuador","TIP-05",-0.638,-76.144,25.79,3328,237,7.9,"Forest","Primary","Unclear","Alisols","WRB system",NA,"TIP-05","0-30 cm","",7.6,6.3,NA,21.2,36.3,97.1,2.3,NA,NA,NA,NA,236.4,118.3,584.8,NA,"",4.61,1.74,0.19,NA,NA,NA,NA,NA,"",43,22.98,34.02,"Hydrometer method and pipette method",NA,-0.638,-76.144,25.79,3328,1.81,237,"Ultisols","","Forest",4.52,15,"",2,584.8,13.87,118.31,2.3,36.26,414.1
"152",152,"Quesada et al., 2010","Peru","YAN-01",-3.44,-72.846,26.31,2754,104,62.5,"Forest","Primary","Unclear","Alisols","WRB system",NA,"YAN-01","0-30 cm","",4.7,6.1,NA,15.5,30.6,68.5,3.5,NA,NA,NA,NA,225.8,83.9,352.8,NA,"",5.2,1.57,0.18,NA,NA,NA,NA,NA,"",32.2,40.32,27.49,"Hydrometer method and pipette method",NA,-3.44,-72.846,26.31,2754,1.67,104,"Ultisols","","Forest",32.01,15,"",2,352.8,10.77,83.93,3.46,30.64,224
"153",153,"Quesada et al., 2010","Peru","YAN-02",-3.434,-72.843,26.31,2754,104,24,"Forest","Primary","Unclear","Cambisol","WRB system",NA,"YAN-02","0-30 cm","",3,5,NA,14.9,44.9,70.5,7.3,NA,NA,NA,NA,323.4,85.3,477.3,NA,"",5.15,1.3,0.16,NA,NA,NA,NA,NA,"",10.09,61.56,28.36,"Hydrometer method and pipette method",NA,-3.434,-72.843,26.31,2754,1.67,104,"Inceptisols","","Forest",13.5,15,"",2,477.3,7.95,85.34,7.34,44.9,331.7
"154",154,"Quesada et al., 2010","Colombia","ZAR-01",-4.007,-69.906,25.51,2723,127,0,"Forest","Primary","Unclear","Podzol","WRB system",NA,"ZAR-01","0-30 cm","",11.1,0.8,NA,2.5,4,3.2,1.1,NA,NA,NA,NA,3,5.7,25.7,NA,"",4.27,2.43,0.11,NA,NA,NA,NA,NA,"",74.75,24.61,0.64,"Hydrometer method and pipette method",NA,-4.007,-69.906,25.51,2723,1.7,127,"Spodosols","","Forest",0,15,"",2,25.7,11.91,5.69,1.08,3.97,3
"155",155,"Quesada et al., 2010","Colombia","ZAR-02",-4.002,-69.904,25.49,2723,130,0,"Forest","Primary","Unclear","Gleysol","WRB system",NA,"ZAR-02","0-30 cm","",6.1,5.9,NA,11.2,25.7,39.8,1.5,NA,NA,NA,NA,15.2,51,105.4,NA,"",4.34,2.19,0.16,NA,NA,NA,NA,NA,"",31.84,34.28,33.88,"Hydrometer method and pipette method",NA,-4.002,-69.904,25.49,2723,1.7,130,"Entisols","","Forest",0,15,"",2,105.4,11.96,50.98,1.49,25.74,15.2
"156",156,"Quesada et al., 2010","Colombia","ZAR-03",-3.995,-69.9,25.59,2723,136,7.9,"Forest","Primary","Unclear","Cambisol","WRB system",NA,"ZAR-03","0-30 cm","",5.9,5.5,NA,4.8,8.8,17.9,0.5,NA,NA,NA,NA,58.5,22.8,104.1,NA,"",4,4.16,0.21,NA,NA,NA,NA,NA,"",48.91,24.47,26.63,"Hydrometer method and pipette method",NA,-3.995,-69.9,25.59,2723,1.69,136,"Inceptisols","","Forest",4.52,15,"",2,104.1,11.39,22.77,0.49,8.78,60.7
"157",157,"Quesada et al., 2010","Colombia","ZAR-04",-4.007,-69.901,25.49,2723,130,7.9,"Forest","Primary","Unclear","Alisols","WRB system",NA,"ZAR-04","0-30 cm","",5.2,0.9,NA,2.5,6.6,5.9,0.9,NA,NA,NA,NA,9.4,8.4,31.4,NA,"",4.13,1.51,0.1,NA,NA,NA,NA,NA,"",58.05,21.7,20.25,"Hydrometer method and pipette method",NA,-4.007,-69.901,25.49,2723,1.7,130,"Ultisols","","Forest",4.52,15,"",2,31.4,6.09,8.45,0.91,6.58,9.4
"158",158,"Redel et al., 2008","Chile","",-39.5,-72.03,11,4550,805,12,"Forest","Primary","Volcanic ashes","Andisol","USDA system",NA,"EF1","Organic horizon","",26.1,140.9,NA,45.5,98.6,765.2,29,NA,NA,NA,NA,808.6,1100,NA,1910,"",5,19.3,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",84.7,-39.5,-72.03,11,4550,2.02,805,"Andisols","Volcanic ashes","Forest",6.84,NA,"Organic horizon",0,1913.8,167.05,810.67,28.99,98.55,808.6
"159",159,"Redel et al., 2008","Chile","",-39.5,-72.03,11,4550,734,26,"Forest","50","Volcanic ashes","Andisol","USDA system",NA,"EF2","Organic horizon","",42.1,59.1,NA,53.4,121.7,602.9,17.4,NA,NA,NA,NA,607.3,1120,NA,1500,"",5,15.2,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",118.4,-39.5,-72.03,11,4550,2.02,734,"Andisols","Volcanic ashes","Forest",14.57,NA,"Organic horizon",0,1503.8,101.14,656.31,17.39,121.74,607.3
"160",160,"Redel et al., 2008","Chile","",-39.5,-72.03,11,4550,630,13,"Forest","50","Volcanic ashes","Andisol","USDA system",NA,"DF1","Organic horizon","",25,113.6,NA,21.6,121.7,400,46.4,NA,NA,NA,NA,815.4,1100,NA,1540,"",5.6,15.8,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",84.69,-39.5,-72.03,11,4550,2.02,630,"Andisols","Volcanic ashes","Forest",7.41,NA,"Organic horizon",0,1543.7,138.64,421.59,46.38,121.74,815.4
"161",161,"Redel et al., 2008","Chile","",-39.5,-72.03,11,4550,637,27,"Forest","","Volcanic ashes","Andisol","USDA system",NA,"DF2","Organic horizon","",22.7,97.7,NA,10.2,115.9,458,40.6,NA,NA,NA,NA,888,1070,NA,1630,"",5.8,16.3,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",64.81,-39.5,-72.03,11,4550,2.02,637,"Andisols","Volcanic ashes","Forest",15.11,NA,"Organic horizon",0,1633.2,120.46,468.2,40.58,115.94,888
"162",162,"Redel et al., 2008","Chile","",-39.5,-72.03,11,4550,805,12,"Forest","Primary","Volcanic ashes","Andisol","USDA system",NA,"EF1","0-18 cm","",22.7,38.6,NA,127.3,156.5,666.7,23.2,NA,NA,NA,NA,998.1,830,NA,2030,"",4.7,12,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",92.47,-39.5,-72.03,11,4550,2.02,805,"Andisols","Volcanic ashes","Forest",6.84,9,"",1,2033.1,61.37,793.94,23.18,156.52,998.1
"163",163,"Redel et al., 2008","Chile","",-39.5,-72.03,11,4550,734,26,"Forest","50","Volcanic ashes","Andisol","USDA system",NA,"EF2","0-18 cm","",18.2,58,NA,56.8,92.8,626.1,17.4,NA,NA,NA,NA,616.2,760,NA,1480,"",5.1,13.3,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",98.52,-39.5,-72.03,11,4550,2.02,734,"Andisols","Volcanic ashes","Forest",14.57,9,"",1,1485.4,76.13,682.91,17.39,92.75,616.2
"164",164,"Redel et al., 2008","Chile","",-39.5,-72.03,11,4550,630,13,"Forest","50","Volcanic ashes","Andisol","USDA system",NA,"DF1","0-18 cm","",11.4,37.5,NA,36.4,150.7,481.2,29,NA,NA,NA,NA,678,730,NA,1420,"",5.4,12.8,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",29.38,-39.5,-72.03,11,4550,2.02,630,"Andisols","Volcanic ashes","Forest",7.41,9,"",1,1424.1,48.86,517.52,28.99,150.72,678
"165",165,"Redel et al., 2008","Chile","",-39.5,-72.03,11,4550,637,27,"Forest","","Volcanic ashes","Andisol","USDA system",NA,"DF2","0-18 cm","",14.8,60.2,NA,62.5,69.6,521.7,23.2,NA,NA,NA,NA,772.2,740,NA,1520,"",5.2,16.9,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",24.2,-39.5,-72.03,11,4550,2.02,637,"Andisols","Volcanic ashes","Forest",15.11,9,"",1,1524.2,75,584.24,23.19,69.57,772.2
"166",166,"Richter et al., 2006","U.S.","",34.08,-82,16,1250,200,NA,"Forest","33","Granitic gneiss","Ultisol","USDA system",NA,"1990.00","0-7.5 cm","",12.9,10.5,NA,6.7,26,16.5,2.6,NA,NA,8.7,1.3,22.3,NA,NA,118,"",3.8,0.67,NA,591.3,1736,NA,NA,1.52,"",NA,NA,10,"Pipette method",NA,34.08,-82,16,1250,0.86,200,"Ultisols","Shield rocks","Forest",NA,3.75,"",1,107.5,23.44,23.19,2.62,26,32.3
"167",167,"Richter et al., 2006","U.S.","",34.08,-82,16,1250,200,NA,"Forest","33","Granitic gneiss","Ultisol","USDA system",NA,"1990.00","7.5-15 cm","",11.1,16.7,NA,5.9,37.1,18.6,3.1,NA,NA,10.1,1.4,25.2,NA,NA,131.7,"",4.2,0.41,NA,675,2492,NA,NA,1.52,"",NA,NA,13,"Pipette method",NA,34.08,-82,16,1250,0.86,200,"Ultisols","Shield rocks","Forest",NA,11.25,"",2,129.1,27.73,24.49,3.14,37.1,36.7
"168",168,"Richter et al., 2006","U.S.","",34.08,-82,16,1250,200,NA,"Forest","33","Granitic gneiss","Ultisol","USDA system",NA,"1990.00","15-35 cm","",3.8,4.6,NA,3.3,24.4,16.2,1.1,NA,NA,15.2,1.2,36.7,NA,NA,120,"",4.4,0.31,NA,2052,7319.2,NA,NA,1.52,"",NA,NA,18,"Pipette method",NA,34.08,-82,16,1250,0.86,200,"Ultisols","Shield rocks","Forest",NA,25,"",3,106.4,8.42,19.45,1.07,24.4,53.1
"169",169,"Richter et al., 2006","U.S.","",34.08,-82,16,1250,200,NA,"Forest","33","Granitic gneiss","Ultisol","USDA system",NA,"1990.00","35-60 cm","",1.6,2.2,NA,1.6,41.2,14.6,0.5,NA,NA,45.9,2,82.2,NA,NA,228.2,"",4.4,0.33,NA,4614.3,20910.4,NA,NA,1.44,"",NA,NA,39.3,"Pipette method",NA,34.08,-82,16,1250,0.86,200,"Ultisols","Shield rocks","Forest",NA,47.5,"",3,191.8,3.81,16.24,0.53,41.2,130.1
"170",170,"Roberts et al., 1985","Canada","",49.935,-105.85,NA,NA,325,NA,"Grass or forest","","Unsorted glacial till","Mollisol","USDA system",NA,"Aridl-upper","0-18 cm","",20.3,10.7,NA,7.9,11.8,38.9,209.4,3.4,5.1,NA,NA,255.6,NA,563,NA,"",7.7,1.49,0.16,680,6160,NA,NA,NA,"",36,24,40,"Pipette method",NA,49.935,-105.85,3.53,372,0.46,325,"Mollisols","Glacial till","Grass and/or others",NA,9,"",1,563,30.96,46.73,209.44,11.82,264.1
"171",171,"Roberts et al., 1985","Canada","",49.935,-105.85,NA,NA,325,NA,"Grass or forest","","Unsorted glacial till","Mollisol","USDA system",NA,"Aridl-mid","0-15 cm","",19.4,9.7,NA,16.5,19.4,67.3,156.8,4.6,6.3,NA,NA,370.2,NA,670,NA,"",6.6,1.48,0.16,870,7120,NA,NA,NA,"",28,38,34,"Pipette method",NA,49.935,-105.85,3.53,372,0.46,325,"Mollisols","Glacial till","Grass and/or others",NA,7.5,"",1,670,29.07,83.79,156.75,19.38,381
"172",172,"Roberts et al., 1985","Canada","",49.935,-105.85,NA,NA,325,NA,"Grass or forest","","Unsorted glacial till","Mollisol","USDA system",NA,"Aridl-lower","0-15 cm","",33.6,18.1,NA,33,38,120.6,127.1,8.7,17.4,NA,NA,226.8,NA,623.4,NA,"",6,1.74,0.18,930,6200,NA,NA,NA,"",19,54,27,"Pipette method",NA,49.935,-105.85,3.53,372,0.46,325,"Mollisols","Glacial till","Grass and/or others",NA,7.5,"",1,623.4,51.71,153.62,127.09,38,252.9
"173",173,"Roberts et al., 1985","Canada","",49.6699,-103.8514,NA,NA,375,NA,"Grass or forest","","Unsorted glacial till","Mollisol","USDA system",NA,"Weyburn-upper","0-8 cm","",20.3,13.2,NA,7.5,15.5,62,190.6,3.4,8,NA,NA,253.7,NA,574.2,NA,"",7.6,1.77,0.19,600,6140,NA,NA,NA,"",40,36,24,"Pipette method",NA,49.66985,-103.85136,3.63,386,0.46,375,"Mollisols","Glacial till","Grass and/or others",NA,4,"",1,574.2,33.49,69.45,190.57,15.5,265.2
"174",174,"Roberts et al., 1985","Canada","",49.6699,-103.8514,NA,NA,375,NA,"Grass or forest","","Unsorted glacial till","Mollisol","USDA system",NA,"Weyburn-mid","0-12 cm","",25.1,15.2,NA,21.1,23.1,110.9,169,5.9,13.2,NA,NA,276.5,NA,660,NA,"",6.6,2.67,0.25,740,6010,NA,NA,NA,"",31,47,22,"Pipette method",NA,49.66985,-103.85136,3.63,386,0.46,375,"Mollisols","Glacial till","Grass and/or others",NA,6,"",1,660,40.26,132,168.96,23.1,295.7
